

######################################
## Cross section in pb for datasets
##

#13 TeV Spring 15 MC
QCD_Pt-15to7000_TuneCUETP8M1_Flat_13TeV_pythia8                            2022100000.0
QCD_HT50to100_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                        2.486e+08
QCD_HT100to200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                        27990000.0
QCD_HT200to300_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                         1712000
QCD_HT300to500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                          347700
QCD_HT500to700_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                           32100
QCD_HT700to1000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                           6831
QCD_HT1000to1500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                         1207
QCD_HT1500to2000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                           119.9
QCD_HT2000toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                             25.24
QCD_HT500to700_TuneCP5_13TeV-madgraphMLM-pythia8                          29980 
QCD_HT700to1000_TuneCP5_13TeV-madgraphMLM-pythia8                          6334 
QCD_HT1000to1500_TuneCP5_13TeV-madgraphMLM-pythia8                        1088 
QCD_HT1500to2000_TuneCP5_13TeV-madgraphMLM-pythia8                          99.11 
QCD_HT2000toInf_TuneCP5_13TeV-madgraphMLM-pythia8                            20.23 
QCD_Pt-15to20_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                     1273190000*0.003
QCD_Pt-20to30_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                      558528000*0.0053
QCD_Pt-30to50_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                      139803000*0.01182
QCD_Pt-50to80_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                       19222500*0.02276
QCD_Pt-80to120_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                       2758420*0.03844
QCD_Pt-120to170_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                       469797*0.0536
QCD_Pt-170to300_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                       117989*0.07335
QCD_Pt-300to470_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                      7820.25*0.10196
QCD_Pt-470to600_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                      645.528*0.12242
QCD_Pt-600to800_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                      187.109*0.13412
QCD_Pt-800to1000_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                     32.3486*0.14552
QCD_Pt-1000toInf_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                     10.4305*0.15544
QCD_Pt-20toInf_MuEnrichedPt15_TuneCUETP8M1_13TeV_pythia8                    720648000*0.00042
QCD_Pt-15to20_EMEnriched_TuneCUETP8M1_13TeV_pythia8                        1279000000*0.0018
QCD_Pt-20to30_EMEnriched_TuneCUETP8M1_13TeV_pythia8                         557600000*0.0096
QCD_Pt-30to50_EMEnriched_TuneCUETP8M1_13TeV_pythia8                         136000000*0.073
QCD_Pt-50to80_EMEnriched_TuneCUETP8M1_13TeV_pythia8                          19800000*0.146
QCD_Pt-80to120_EMEnriched_TuneCUETP8M1_13TeV_pythia8                          2800000*0.125
QCD_Pt-120to170_EMEnriched_TuneCUETP8M1_13TeV_pythia8                          477000*0.132
QCD_Pt-170to300_EMEnriched_TuneCUETP8M1_13TeV_pythia8                          114000*0.165
QCD_Pt-300toInf_EMEnriched_TuneCUETP8M1_13TeV_pythia8                            9000*0.15
QCD_Pt_5to10_TuneCUETP8M1_13TeV_pythia8                                   61018300000
QCD_Pt_10to15_TuneCUETP8M1_13TeV_pythia8                                   5887580000
QCD_Pt_15to30_TuneCUETP8M1_13TeV_pythia8                                   1837410000
QCD_Pt_30to50_TuneCUETP8M1_13TeV_pythia8                                    140932000
QCD_Pt_50to80_TuneCUETP8M1_13TeV_pythia8                                     19204300    
QCD_Pt_80to120_TuneCUETP8M1_13TeV_pythia8                                     2762530      
QCD_Pt_120to170_TuneCUETP8M1_13TeV_pythia8                                     471100
QCD_Pt_170to300_TuneCUETP8M1_13TeV_pythia8                                     117276
QCD_Pt_300to470_TuneCUETP8M1_13TeV_pythia8                                       7823
QCD_Pt_470to600_TuneCUETP8M1_13TeV_pythia8                                        648.2
QCD_Pt_600to800_TuneCUETP8M1_13TeV_pythia8                                        186.9
QCD_Pt_800to1000_TuneCUETP8M1_13TeV_pythia8                                        32.293
QCD_Pt_1000to1400_TuneCUETP8M1_13TeV_pythia8                                        9.4183
QCD_Pt_1400to1800_TuneCUETP8M1_13TeV_pythia8                                        0.84265
QCD_Pt_1800to2400_TuneCUETP8M1_13TeV_pythia8                                        0.12163
QCD_Pt_2400to3200_TuneCUETP8M1_13TeV_pythia8                                        0.00682981
QCD_Pt_3200toInf_TuneCUETP8M1_13TeV_pythia8                                         0.000165445
GJets_HT-40To100_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                         20790.0
GJets_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                         9238.0
GJets_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                         2305
GJets_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                          274.4
GJets_HT-600ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                           93.46
GJets_DR-0p4_HT-40To100_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                  18560
GJets_DR-0p4_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                  5000
